# id,Word,Part of Speech,Per Million Words,Length
871,forget,verb,101.3,6.0
872,theory,noun,101.2,6.0
873,little,determiner,101.0,6.0
874,song,noun,100.8,4.0
875,sound,verb,100.7,5.0
876,rock,noun,100.5,4.0
877,shake,verb,100.4,5.0
878,truth,noun,100.3,5.0
879,network,noun,100.3,7.0
880,set,noun,100.3,3.0
881,management,noun,100.2,10.0
882,no,interjection,99.9,2.0
883,rather,adverb,99.9,6.0
884,force,verb,99.8,5.0
885,study,verb,99.8,5.0
886,cell,noun,99.6,4.0
887,legal,adjective,99.6,5.0
888,nice,adjective,99.5,4.0
889,note,noun,99.4,4.0
890,firm,noun,99.3,4.0
891,remove,verb,99.3,6.0
892,green,adjective,99.3,5.0
893,cold,adjective,99.2,4.0
894,form,verb,99.2,4.0
895,trial,noun,98.9,5.0
896,seat,noun,98.7,4.0
897,enough,determiner,98.6,6.0
898,prove,verb,98.5,5.0
899,claim,verb,98.4,5.0
900,above,preposition,98.1,5.0
901,spring,noun,98.0,6.0
902,enjoy,verb,97.8,5.0
903,entire,adjective,97.8,6.0
904,measure,noun,97.6,7.0
905,expert,noun,97.6,6.0
906,impact,noun,97.3,6.0
907,help,noun,97.2,4.0
908,main,adjective,97.1,4.0
909,traditional,adjective,97.1,11.0
910,structure,noun,97.0,9.0
911,card,noun,96.9,4.0
912,final,adjective,96.9,5.0
913,close,adjective,96.8,5.0
914,onto,preposition,96.8,4.0
915,memory,noun,96.7,6.0
916,ball,noun,96.7,4.0
917,maintain,verb,96.7,8.0
918,imagine,verb,96.6,7.0
919,yourself,pronoun,96.4,8.0
920,suddenly,adverb,96.4,8.0
921,that,adverb,96.4,4.0
922,talk,noun,96.1,4.0
923,chair,noun,96.1,5.0
924,candidate,noun,96.1,9.0
925,weapon,noun,95.9,6.0
926,radio,noun,95.9,5.0
927,finish,verb,95.9,6.0
928,care,verb,95.5,4.0
929,visit,verb,95.4,5.0
930,statement,noun,95.4,9.0
931,avoid,verb,95.3,5.0
932,shoulder,noun,95.2,8.0
933,close,adverb,95.2,5.0
934,employee,noun,95.2,8.0
935,method,noun,94.8,6.0
936,reveal,verb,94.7,6.0
937,huge,adjective,94.6,4.0
938,contain,verb,94.5,7.0
939,popular,adjective,94.2,7.0
940,specific,adjective,94.2,8.0
941,apply,verb,94.2,5.0
942,charge,noun,94.1,6.0
943,individual,adjective,94.1,10.0
944,particular,adjective,94.0,10.0
945,peace,noun,93.9,5.0
946,institution,noun,93.7,11.0
947,respond,verb,93.6,7.0
948,production,noun,93.4,10.0
949,weight,noun,93.2,6.0
950,bit,noun,93.1,3.0
951,control,verb,92.8,7.0
952,politics,noun,92.8,8.0
953,perform,verb,92.6,7.0
954,play,noun,92.6,4.0
955,head,verb,92.6,4.0
956,somebody,pronoun,92.5,8.0
957,interview,noun,92.4,9.0
958,rather,preposition,92.4,6.0
959,affect,verb,92.2,6.0
960,fish,noun,92.2,4.0
961,top,adjective,92.2,3.0
962,smile,verb,92.2,5.0
963,participant,noun,92.1,11.0
964,fly,verb,91.9,3.0
965,pain,noun,91.9,4.0
966,range,noun,91.8,5.0
967,direction,noun,91.7,9.0
968,wide,adjective,91.6,4.0
969,camera,noun,91.6,6.0
970,base,noun,91.5,4.0
971,unit,noun,91.3,4.0
972,edge,noun,91.0,4.0
973,style,noun,90.9,5.0
974,evening,noun,90.8,7.0
975,inside,preposition,90.8,6.0
976,finger,noun,90.8,6.0
977,necessary,adjective,90.6,9.0
978,coach,noun,90.5,5.0
979,adult,noun,90.5,5.0
980,reflect,verb,90.4,7.0
981,conference,noun,90.3,10.0
982,commercial,adjective,90.2,10.0
983,Mrs,noun,90.1,3.0
984,manage,verb,90.1,6.0
985,discover,verb,90.0,8.0
986,trip,noun,89.8,4.0
987,middle,adjective,89.8,6.0
988,pattern,noun,89.8,7.0
989,challenge,noun,89.7,9.0
990,heat,noun,89.7,4.0
991,break,noun,89.7,5.0
992,item,noun,89.6,4.0
993,treat,verb,89.5,5.0
994,improve,verb,89.4,7.0
995,worry,verb,89.4,5.0
996,mouth,noun,89.3,5.0
997,stuff,noun,89.3,5.0
998,throughout,preposition,89.3,10.0
999,deep,adjective,89.2,4.0
1000,purpose,noun,89.1,7.0
1001,beautiful,adjective,89.0,9.0
1002,property,noun,88.9,8.0
1003,bag,noun,88.9,3.0
1004,far,adjective,88.8,3.0
1005,best,adverb,88.8,4.0
1006,skin,noun,88.7,4.0
1007,bar,noun,88.6,3.0
1008,mention,verb,88.5,7.0
1009,address,verb,88.4,7.0
1010,ahead,adverb,88.2,5.0
1011,writer,noun,88.1,6.0
1012,trouble,noun,88.1,7.0
1013,hotel,noun,88.1,5.0
1014,down,preposition,88.1,4.0
1015,discussion,noun,88.0,10.0
1016,dream,noun,88.0,5.0
1017,tough,adjective,88.0,5.0
1018,past,noun,87.9,4.0
1019,soldier,noun,87.9,7.0
1020,sea,noun,87.8,3.0
1021,owner,noun,87.8,5.0
1022,vote,noun,87.7,4.0
1023,sign,verb,87.6,4.0
1024,cancer,noun,87.6,6.0
1025,surface,noun,87.5,7.0
1026,step,verb,87.5,4.0
1027,exist,verb,87.4,5.0
1028,kitchen,noun,87.4,7.0
1029,positive,adjective,87.4,8.0
1030,score,noun,87.3,5.0
1031,stare,verb,87.3,5.0
1032,painting,noun,87.3,8.0
1033,yard,noun,87.2,4.0
1034,task,noun,87.1,4.0
1035,magazine,noun,87.1,8.0
1036,budget,noun,87.0,6.0
1037,heavy,adjective,87.0,5.0
1038,relate,verb,87.0,6.0
1039,instead,adverb,86.8,7.0
1040,notice,verb,86.5,6.0
1041,fear,noun,86.3,4.0
1042,cause,noun,86.3,5.0
1043,fall,noun,86.3,4.0
1044,investment,noun,86.2,10.0
1045,garden,noun,86.2,6.0
1046,total,adjective,86.2,5.0
1047,detail,noun,86.1,6.0
1048,test,verb,85.9,4.0
1049,sing,verb,85.7,4.0
1050,marriage,noun,85.6,8.0
1051,violence,noun,85.5,8.0
1052,collection,noun,85.4,10.0
1053,machine,noun,85.3,7.0
1054,reality,noun,85.3,7.0
1055,modern,adjective,85.3,6.0
1056,generation,noun,85.2,10.0
1057,tend,verb,85.1,4.0
1058,beat,verb,85.0,4.0
1059,agent,noun,85.0,5.0
1060,gas,noun,84.9,3.0
1061,agreement,noun,84.8,9.0
1062,consumer,noun,84.6,8.0
1063,attorney,noun,84.4,8.0
1064,whom,pronoun,84.3,4.0
1065,civil,adjective,83.9,5.0
1066,scientist,noun,83.8,9.0
1067,partner,noun,83.4,7.0
1068,wish,verb,83.4,4.0
1069,newspaper,noun,83.4,9.0
1070,shot,noun,83.3,4.0
1071,interesting,adjective,83.3,11.0
1072,capital,noun,83.2,7.0
1073,western,adjective,83.1,7.0
1074,front,preposition,83.0,5.0
1075,nor,conjunction,82.7,3.0
1076,debate,noun,82.7,6.0
1077,dinner,noun,82.6,6.0
1078,responsibility,noun,82.4,14.0
1079,threat,noun,82.3,6.0
1080,relation,noun,82.1,8.0
1081,victim,noun,82.0,6.0
1082,Senate,noun,81.8,6.0
1083,account,noun,81.7,7.0
1084,majority,noun,81.7,8.0
1085,absolutely,adverb,81.6,10.0
1086,senior,adjective,81.3,6.0
1087,safe,adjective,81.2,4.0
1088,wind,noun,81.1,4.0
1089,prevent,verb,80.9,7.0
1090,citizen,noun,80.9,7.0
1091,global,adjective,80.8,6.0
1092,professional,adjective,80.7,12.0
1093,instead,preposition,80.5,7.0
1094,audience,noun,80.5,8.0
1095,Soviet,adjective,80.4,6.0
1096,figure,verb,80.3,6.0
1097,reform,noun,80.2,6.0
1098,key,adjective,80.1,3.0
1099,troop,noun,80.0,5.0
1100,customer,noun,80.0,8.0
1101,fresh,adjective,79.9,5.0
1102,assume,verb,79.9,6.0
1103,concept,noun,79.9,7.0
1104,rich,adjective,79.9,4.0
1105,restaurant,noun,79.8,10.0
1106,effective,adjective,79.7,9.0
1107,therefore,adverb,79.6,9.0
1108,examine,verb,79.6,7.0
1109,critical,adjective,79.6,8.0
1110,species,noun,79.6,7.0
1111,travel,verb,79.4,6.0
1112,like,conjunction,79.2,4.0
1113,speech,noun,78.9,6.0
1114,corner,noun,78.9,6.0
1115,fast,adverb,78.8,4.0
1116,judge,noun,78.8,5.0
1117,successful,adjective,78.8,10.0
1118,attitude,noun,78.7,8.0
1119,option,noun,78.7,6.0
1120,forest,noun,78.7,6.0
1121,none,pronoun,78.6,4.0
1122,born,verb,78.6,4.0
1123,southern,adjective,78.5,8.0
1124,access,noun,78.5,6.0
1125,video,noun,78.3,5.0
1126,vote,verb,78.3,4.0
1127,mission,noun,78.3,7.0
1128,achieve,verb,78.1,7.0
1129,admit,verb,78.1,5.0
1130,sky,noun,78.1,3.0
1131,publish,verb,77.9,7.0
1132,object,noun,77.9,6.0
1133,no,pronoun,77.8,2.0
1134,alone,adverb,77.7,5.0
1135,cost,verb,77.6,4.0
1136,income,noun,77.6,6.0
1137,conduct,verb,77.6,7.0
1138,bird,noun,77.4,4.0
1139,sleep,verb,77.3,5.0
1140,basic,adjective,77.3,5.0
1141,researcher,noun,77.2,10.0
1142,touch,verb,77.2,5.0
1143,conflict,noun,77.1,8.0
1144,please,adverb,77.1,6.0
1145,neighborhood,noun,77.1,12.0
1146,suffer,verb,77.1,6.0
1147,credit,noun,76.8,6.0
1148,own,verb,76.8,3.0
1149,African,adjective,76.8,7.0
1150,eventually,adverb,76.7,10.0
1151,opinion,noun,76.7,7.0
1152,version,noun,76.6,7.0
1153,AM,adverb,76.6,2.0
1154,hurt,verb,76.5,4.0
1155,recall,verb,76.5,6.0
1156,labor,noun,76.4,5.0
1157,scale,noun,76.4,5.0
1158,original,adjective,76.4,8.0
1159,concerned,adjective,76.3,9.0
1160,refer,verb,76.3,5.0
1161,release,verb,76.2,7.0
1162,nobody,pronoun,76.2,6.0
1163,sorry,adjective,76.2,5.0
1164,nuclear,adjective,76.1,7.0
1165,variety,noun,76.1,7.0
1166,safety,noun,76.0,6.0
1167,freedom,noun,75.9,7.0
1168,act,noun,75.8,3.0
1169,directly,adverb,75.8,8.0
1170,client,noun,75.6,6.0
1171,experience,verb,75.6,10.0
1172,define,verb,75.5,6.0
1173,plane,noun,75.3,5.0
1174,investigation,noun,75.2,13.0
1175,track,noun,75.1,5.0
1176,status,noun,74.5,6.0
1177,perfect,adjective,74.3,7.0
1178,involved,adjective,74.3,8.0
1179,press,noun,74.2,5.0
1180,slowly,adverb,74.2,6.0
1181,argument,noun,74.2,8.0
1182,attend,verb,74.2,6.0
1183,encourage,verb,74.1,9.0
1184,feature,noun,74.1,7.0
1185,announce,verb,74.0,8.0
1186,weekend,noun,73.9,7.0
1187,strike,verb,73.9,6.0
1188,afternoon,noun,73.8,9.0
1189,generally,adverb,73.8,9.0
1190,powerful,adjective,73.7,8.0
1191,immediately,adverb,73.5,11.0
1192,element,noun,73.5,7.0
1193,conversation,noun,73.4,12.0
1194,hope,noun,73.4,4.0
1195,university,noun,73.3,10.0
1196,nine,number,73.3,4.0
1197,turn,noun,73.2,4.0
1198,spirit,noun,73.2,6.0
1199,British,adjective,73.2,7.0
1200,insurance,noun,73.2,9.0
1201,crisis,noun,73.2,6.0
1202,fan,noun,73.2,3.0
1203,brain,noun,73.0,5.0
1204,complete,verb,72.9,8.0
1205,survey,noun,72.9,6.0
1206,replace,verb,72.6,7.0
1207,camp,noun,72.6,4.0
1208,sun,noun,72.5,3.0
1209,ship,noun,72.4,4.0
1210,by,adverb,72.4,2.0
1211,completely,adverb,72.3,10.0
1212,stone,noun,72.3,5.0
1213,along,adverb,72.2,5.0
1214,possibility,noun,72.1,11.0
1215,sample,noun,72.1,6.0
1216,dozen,number,72.1,5.0
1217,vision,noun,71.9,6.0
1218,Chinese,adjective,71.9,7.0
1219,park,noun,71.8,4.0
1220,text,noun,71.8,4.0
1221,hole,noun,71.8,4.0
1222,stick,verb,71.7,5.0
1223,department,noun,71.7,10.0
1224,once,conjunction,71.5,4.0
1225,lack,noun,71.5,4.0
1226,sales,noun,71.4,5.0
1227,tradition,noun,71.4,9.0
1228,bit,adverb,71.3,3.0
1229,front,adjective,71.3,5.0
1230,boat,noun,71.3,4.0
1231,drink,verb,71.3,5.0
1232,solution,noun,71.2,8.0
1233,battle,noun,71.1,6.0
1234,attempt,noun,71.0,7.0
1235,beginning,noun,70.8,9.0
1236,through,adverb,70.8,7.0
1237,resident,noun,70.7,8.0
1238,very,adjective,70.7,4.0
1239,wood,noun,70.7,4.0
1240,easily,adverb,70.6,6.0
1241,ice,noun,70.4,3.0
1242,driver,noun,70.3,6.0
1243,spot,noun,70.2,4.0
1244,Ms,noun,70.2,2.0
1245,roll,verb,70.2,4.0
1246,communication,noun,70.2,13.0
1247,truck,noun,70.1,5.0
1248,future,adjective,70.0,6.0
1249,date,noun,69.9,4.0
1250,European,adjective,69.9,8.0
1251,reader,noun,69.9,6.0
1252,distance,noun,69.7,8.0
1253,introduce,verb,69.7,9.0
1254,district,noun,69.6,8.0
1255,run,noun,69.6,3.0
1256,mountain,noun,69.6,8.0
1257,understanding,noun,69.6,13.0
1258,obviously,adverb,69.6,9.0
1259,potential,adjective,69.5,9.0
1260,normal,adjective,69.5,6.0
1261,increase,noun,69.4,8.0
1262,winter,noun,69.4,6.0
1263,identity,noun,69.3,8.0
1264,hide,verb,69.1,4.0
1265,return,noun,69.0,6.0
1266,independent,adjective,69.0,11.0
1267,apartment,noun,68.9,9.0
1268,supposed,adjective,68.9,8.0
1269,terms,preposition,68.9,5.0
1270,horse,noun,68.9,5.0
1271,express,verb,68.8,7.0
1272,contract,noun,68.7,8.0
1273,club,noun,68.4,4.0
1274,screen,noun,68.4,6.0
1275,share,noun,68.3,5.0
1276,village,noun,68.3,7.0
1277,observe,verb,68.3,7.0
1278,gold,noun,68.3,4.0
1279,Christian,adjective,68.3,9.0
1280,inside,adverb,68.3,6.0
1281,gain,verb,68.1,4.0
1282,present,adjective,68.1,7.0
1283,handle,verb,68.1,6.0
1284,presence,noun,68.1,8.0
1285,crowd,noun,67.9,5.0
1286,demand,noun,67.8,6.0
1287,previous,adjective,67.8,8.0
1288,ride,verb,67.7,4.0
1289,reporter,noun,67.6,8.0
1290,associate,verb,67.6,9.0
1291,shape,noun,67.5,5.0
1292,basis,noun,67.5,5.0
1293,farm,noun,67.3,4.0
1294,tool,noun,67.3,4.0
1295,prison,noun,67.2,6.0
1296,middle,noun,67.1,6.0
1297,refuse,verb,67.1,6.0
1298,guard,noun,67.0,5.0
1299,facility,noun,66.9,8.0
1300,tomorrow,adverb,66.9,8.0
1301,contribute,verb,66.9,10.0
1302,leadership,noun,66.8,10.0
1303,principle,noun,66.7,9.0
1304,pound,noun,66.5,5.0
1305,target,noun,66.4,6.0
1306,technique,noun,66.3,9.0
1307,bright,adjective,66.2,6.0
1308,additional,adjective,66.2,10.0
1309,strength,noun,66.2,8.0
1310,band,noun,66.2,4.0
1311,tiny,adjective,66.1,4.0
1312,light,adjective,66.1,5.0
1313,average,adjective,66.0,7.0
1314,cry,verb,66.0,3.0
1315,promote,verb,66.0,7.0
1316,willing,adjective,65.9,7.0
1317,ear,noun,65.8,3.0
1318,while,noun,65.7,5.0
1319,earn,verb,65.7,4.0
1320,highly,adverb,65.7,6.0
1321,flight,noun,65.6,6.0
1322,result,verb,65.6,6.0
1323,emerge,verb,65.5,6.0
1324,kind,adverb,65.5,4.0
1325,wild,adjective,65.5,4.0
1326,aspect,noun,65.5,6.0
1327,document,noun,65.4,8.0
1328,vehicle,noun,65.4,7.0
1329,lift,verb,65.2,4.0
1330,operate,verb,65.2,7.0
1331,advantage,noun,65.2,9.0
1332,protection,noun,65.2,10.0
1333,guest,noun,65.2,5.0
1334,title,noun,64.9,5.0
1335,demonstrate,verb,64.8,11.0
1336,deliver,verb,64.8,7.0
1337,interested,adjective,64.8,10.0
1338,context,noun,64.7,7.0
1339,quick,adjective,64.7,5.0
1340,procedure,noun,64.5,9.0
1341,mean,noun,64.4,4.0
1342,collect,verb,64.3,7.0
1343,limit,verb,64.2,5.0
1344,learning,noun,64.2,8.0
1345,river,noun,64.1,5.0
1346,belief,noun,64.1,6.0
1347,count,verb,64.1,5.0
1348,settle,verb,64.1,6.0
1349,block,noun,64.1,5.0
1350,competition,noun,63.9,11.0
1351,living,noun,63.9,6.0
1352,marry,verb,63.8,5.0
1353,faith,noun,63.8,5.0
1354,anybody,pronoun,63.8,7.0
1355,folk,noun,63.8,4.0
1356,smile,noun,63.8,5.0
1357,border,noun,63.6,6.0
1358,lesson,noun,63.6,6.0
1359,measure,verb,63.6,7.0
1360,claim,noun,63.6,5.0
1361,warm,adjective,63.6,4.0
1362,shop,noun,63.5,4.0
1363,chairman,noun,63.5,8.0
1364,baseball,noun,63.4,8.0
1365,jump,verb,63.3,4.0
1366,feed,verb,63.3,4.0
1367,annual,adjective,63.3,6.0
1368,influence,noun,63.1,9.0
1369,path,noun,63.0,4.0
1370,murder,noun,63.0,6.0
1371,coffee,noun,63.0,6.0
1372,perspective,noun,62.9,11.0
1373,past,preposition,62.8,4.0
1374,finding,noun,62.8,7.0
1375,critic,noun,62.8,6.0
1376,failure,noun,62.7,7.0
1377,religion,noun,62.7,8.0
1378,academic,adjective,62.7,8.0
1379,engage,verb,62.7,6.0
1380,mostly,adverb,62.6,6.0
1381,anyway,adverb,62.6,6.0
1382,review,noun,62.5,6.0
1383,Christmas,noun,62.3,9.0
1384,native,adjective,62.3,6.0
1385,equipment,noun,62.3,9.0
1386,function,noun,62.2,8.0
1387,soft,adjective,62.2,4.0
1388,female,adjective,62.1,6.0
1389,order,verb,62.1,5.0
1390,egg,noun,62.0,3.0
1391,unless,conjunction,62.0,6.0
1392,fit,verb,61.9,3.0
1393,voter,noun,61.7,5.0
1394,youth,noun,61.7,5.0
1395,speed,noun,61.6,5.0
1396,editor,noun,61.6,6.0
1397,afraid,adjective,61.6,6.0
1398,cook,verb,61.6,4.0
1399,comment,noun,61.6,7.0
1400,worth,preposition,61.5,5.0
1401,survive,verb,61.5,7.0
1402,gather,verb,61.5,6.0
1403,hey,interjection,61.5,3.0
1404,French,adjective,61.3,6.0
1405,responsible,adjective,61.3,11.0
1406,intelligence,noun,61.2,12.0
1407,classroom,noun,61.2,9.0
1408,cross,verb,61.2,5.0
1409,wonderful,adjective,61.1,9.0
1410,approach,verb,61.0,8.0
1411,affair,noun,61.0,6.0
1412,nod,verb,60.6,3.0
1413,spread,verb,60.6,6.0
1414,historical,adjective,60.6,10.0
1415,view,verb,60.6,4.0
1416,blow,verb,60.6,4.0
1417,regular,adjective,60.5,7.0
1418,category,noun,60.5,8.0
1419,insist,verb,60.5,6.0
1420,broad,adjective,60.4,5.0
1421,grade,noun,60.4,5.0
1422,quarter,noun,60.3,7.0
1423,construction,noun,60.3,12.0
1424,Indian,adjective,60.2,6.0
1425,search,noun,60.2,6.0
1426,suit,noun,60.1,4.0
1427,gift,noun,60.1,4.0
1428,clothes,noun,60.1,7.0
1429,ignore,verb,60.1,6.0
1430,until,preposition,60.0,5.0
1431,Internet,noun,60.0,8.0
1432,moral,adjective,60.0,5.0
1433,grab,verb,59.9,4.0
1434,shoe,noun,59.9,4.0
1435,commit,verb,59.9,6.0
1436,background,noun,59.8,10.0
1437,lean,verb,59.8,4.0
1438,slightly,adverb,59.7,8.0
1439,growing,adjective,59.7,7.0
1440,negative,adjective,59.7,8.0
1441,wave,noun,59.7,4.0
1442,focus,noun,59.6,5.0
1443,reaction,noun,59.5,8.0
1444,below,adverb,59.5,5.0
1445,quiet,adjective,59.4,5.0
1446,move,noun,59.4,4.0
1447,committee,noun,59.3,9.0
1448,wine,noun,59.3,4.0
1449,deny,verb,59.3,4.0
1450,dress,verb,59.3,5.0
1451,burn,verb,59.2,4.0
1452,following,adjective,59.2,9.0
1453,threaten,verb,59.1,8.0
1454,combine,verb,59.0,7.0
1455,average,noun,59.0,7.0
1456,connection,noun,59.0,10.0
1457,apparently,adverb,58.9,10.0
1458,active,adjective,58.9,6.0
1459,participate,verb,58.9,11.0
1460,relatively,adverb,58.8,10.0
1461,location,noun,58.8,8.0
1462,chief,adjective,58.8,5.0
1463,twice,adverb,58.8,5.0
1464,charge,verb,58.7,6.0
1465,victory,noun,58.7,7.0
1466,United,adjective,58.7,6.0
1467,drive,noun,58.6,5.0
1468,assessment,noun,58.5,10.0
1469,bone,noun,58.4,4.0
1470,cool,adjective,58.4,4.0
1471,literature,noun,58.3,10.0
1472,appropriate,adjective,58.3,11.0
1473,yesterday,adverb,58.3,9.0
1474,destroy,verb,58.2,7.0
1475,mistake,noun,58.0,7.0
1476,primary,adjective,57.9,7.0
1477,democracy,noun,57.9,9.0
1478,healthy,adjective,57.8,7.0
1479,direct,adjective,57.8,6.0
1480,extend,verb,57.7,6.0
1481,exercise,noun,57.6,8.0
1482,knee,noun,57.6,4.0
1483,bus,noun,57.4,3.0
1484,tour,noun,57.3,4.0
1485,application,noun,57.2,11.0
1486,tape,noun,57.2,4.0
1487,promise,verb,57.2,7.0
1488,next,preposition,57.2,4.0
1489,neck,noun,57.1,4.0
1490,complete,adjective,57.1,8.0
1491,flower,noun,57.0,6.0
1492,remind,verb,56.7,6.0
1493,medicine,noun,56.7,8.0
1494,aware,adjective,56.7,5.0
1495,neighbor,noun,56.7,8.0
1496,photo,noun,56.6,5.0
1497,Iraqi,adjective,56.5,5.0
1498,key,noun,56.5,3.0
1499,lady,noun,56.5,4.0
1500,depend,verb,56.5,6.0
1501,fire,verb,56.4,4.0
1502,justice,noun,56.4,7.0
1503,cut,noun,56.3,3.0
1504,tall,adjective,56.2,4.0
1505,pair,noun,56.2,4.0
1506,educational,adjective,56.2,11.0
1507,football,noun,56.2,8.0
1508,lip,noun,56.1,3.0
1509,welcome,verb,56.1,7.0
1510,contact,noun,56.0,7.0
1511,demand,verb,56.0,6.0
1512,instruction,noun,56.0,11.0
1513,daily,adjective,56.0,5.0
1514,dangerous,adjective,55.9,9.0
1515,eastern,adjective,55.8,7.0
1516,hire,verb,55.7,4.0
1517,fair,adjective,55.7,4.0
1518,visit,noun,55.6,5.0
1519,writing,noun,55.5,7.0
1520,importance,noun,55.4,10.0
1521,hate,verb,55.4,4.0
1522,supply,noun,55.4,6.0
1523,device,noun,55.4,6.0
1524,male,adjective,55.3,4.0
1525,actor,noun,55.2,5.0
1526,fat,noun,55.2,3.0
1527,fully,adverb,55.2,5.0
1528,exchange,noun,55.2,8.0
1529,shut,verb,55.1,4.0
1530,studio,noun,55.0,6.0
1531,expression,noun,55.0,10.0
1532,circle,noun,55.0,6.0
1533,press,verb,54.9,5.0
1534,salt,noun,54.9,4.0
1535,breath,noun,54.8,6.0
1536,bottom,noun,54.8,6.0
1537,progress,noun,54.8,8.0
1538,famous,adjective,54.7,6.0
1539,plate,noun,54.6,5.0
1540,plastic,noun,54.6,7.0
1541,obtain,verb,54.5,6.0
1542,abuse,noun,54.5,5.0
1543,familiar,adjective,54.5,8.0
1544,birth,noun,54.5,5.0
1545,chicken,noun,54.4,7.0
1546,theater,noun,54.3,7.0
1547,tie,verb,54.2,3.0
1548,front,noun,54.2,5.0
1549,teaching,noun,54.2,8.0
1550,colleague,noun,54.2,9.0
1551,climb,verb,54.1,5.0
1552,will,noun,54.1,4.0
1553,clean,adjective,54.1,5.0
1554,domestic,adjective,54.0,8.0
1555,island,noun,54.0,6.0
1556,sugar,noun,54.0,5.0
1557,okay,adverb,53.9,4.0
1558,alive,adjective,53.7,5.0
1559,damage,noun,53.7,6.0
1560,rain,noun,53.6,4.0
1561,jury,noun,53.5,4.0
1562,start,noun,53.5,5.0
1563,meaning,noun,53.5,7.0
1564,presidential,adjective,53.5,12.0
1565,leaf,noun,53.4,4.0
1566,paint,verb,53.4,5.0
1567,session,noun,53.4,7.0
1568,poll,noun,53.4,4.0
1569,extra,adjective,53.3,5.0
1570,desire,noun,53.3,6.0
1571,train,verb,53.3,5.0
1572,attack,verb,53.3,6.0
1573,software,noun,53.2,8.0
1574,injury,noun,53.2,6.0
1575,fuel,noun,53.2,4.0
1576,army,noun,53.2,4.0
1577,reading,noun,53.2,7.0
1578,Supreme,adjective,53.1,7.0
1579,ticket,noun,53.1,6.0
1580,urban,adjective,53.1,5.0
1581,athlete,noun,53.0,7.0
1582,above,adverb,53.0,5.0
1583,sweet,adjective,53.0,5.0
1584,instrument,noun,53.0,10.0
1585,dry,adjective,52.9,3.0
1586,otherwise,adverb,52.9,9.0
1587,northern,adjective,52.9,8.0
1588,complex,adjective,52.8,7.0
1589,lots,pronoun,52.8,4.0
1590,strange,adjective,52.8,7.0
1591,explore,verb,52.8,7.0
1592,Russian,adjective,52.8,7.0
1593,scientific,adjective,52.6,10.0
1594,map,noun,52.6,3.0
1595,mental,adjective,52.6,6.0
1596,corporate,adjective,52.5,9.0
1597,engine,noun,52.5,6.0
1598,pocket,noun,52.4,6.0
1599,planet,noun,52.4,6.0
1600,intend,verb,52.3,6.0
1601,increasingly,adverb,52.3,12.0
1602,somewhere,adverb,52.3,9.0
1603,desk,noun,52.1,4.0
1604,mom,noun,52.1,3.0
1605,expand,verb,52.0,6.0
1606,disappear,verb,52.0,9.0
1607,empty,adjective,51.9,5.0
1608,pool,noun,51.9,4.0
1609,metal,noun,51.8,5.0
1610,consequence,noun,51.8,11.0
1611,lead,noun,51.8,4.0
1612,direct,verb,51.8,6.0
1613,respect,noun,51.7,7.0
1614,basically,adverb,51.7,9.0
1615,danger,noun,51.7,6.0
1616,fourth,number,51.6,6.0
1617,lunch,noun,51.6,5.0
1618,fight,noun,51.6,5.0
1619,thin,adjective,51.5,4.0
1620,regional,adjective,51.5,8.0
1621,minority,noun,51.5,8.0
1622,favorite,adjective,51.5,8.0
1623,commitment,noun,51.4,10.0
1624,temperature,noun,51.4,11.0
1625,alone,adjective,51.3,5.0
1626,thanks,noun,51.2,6.0
1627,conclusion,noun,51.2,10.0
1628,trail,noun,51.2,5.0
1629,farmer,noun,51.1,6.0
1630,predict,verb,51.0,7.0
1631,straight,adverb,51.0,8.0
1632,adopt,verb,50.8,5.0
1633,sight,noun,50.8,5.0
1634,variable,noun,50.8,8.0
1635,carefully,adverb,50.7,9.0
1636,proposal,noun,50.7,8.0
1637,shadow,noun,50.7,6.0
1638,emotional,adjective,50.6,9.0
1639,attempt,verb,50.6,7.0
1640,works,noun,50.5,5.0
1641,outcome,noun,50.5,7.0
1642,soul,noun,50.5,4.0
1643,county,noun,50.4,6.0
1644,greatest,adjective,50.4,8.0
1645,analyst,noun,50.4,7.0
1646,aid,noun,50.3,3.0
1647,ethnic,adjective,50.3,6.0
1648,repeat,verb,50.3,6.0
1649,enemy,noun,50.3,5.0
1650,weather,noun,50.2,7.0
1651,storm,noun,50.1,5.0
1652,panel,noun,50.1,5.0
1653,chest,noun,50.0,5.0
1654,theme,noun,50.0,5.0
1655,regulation,noun,50.0,10.0
1656,e-mail,noun,49.9,6.0
1657,yellow,adjective,49.9,6.0
1658,revenue,noun,49.9,7.0
1659,investor,noun,49.8,8.0
1660,fruit,noun,49.8,5.0
1661,male,noun,49.8,4.0
1662,novel,noun,49.8,5.0
1663,surround,verb,49.8,8.0
1664,organize,verb,49.8,8.0
1665,union,noun,49.7,5.0
1666,breast,noun,49.7,6.0
1667,married,adjective,49.7,7.0
1668,loan,noun,49.6,4.0
1669,cover,noun,49.6,5.0
1670,difficulty,noun,49.5,10.0
1671,surprise,noun,49.5,8.0
1672,somehow,adverb,49.5,7.0
1673,conclude,verb,49.4,8.0
1674,balance,noun,49.4,7.0
1675,impossible,adjective,49.4,10.0
1676,generate,verb,49.4,8.0
1677,bear,verb,49.3,4.0
1678,gender,noun,49.3,6.0
1679,invite,verb,49.2,6.0
1680,connect,verb,49.1,7.0
