# id,Word,Part of Speech,Per Million Words,Length
198,government,noun,425.1,10.0
199,during,preposition,423.8,6.0
200,Mr,noun,419.0,2.0
201,play,verb,418.5,4.0
202,work,noun,416.7,4.0
203,run,verb,416.3,3.0
204,number,noun,413.3,6.0
205,small,adjective,412.1,5.0
206,night,noun,410.0,5.0
207,off,adverb,408.6,3.0
208,today,adverb,408.3,5.0
209,happen,verb,406.0,6.0
210,like,verb,405.2,4.0
211,always,adverb,398.8,6.0
212,move,verb,398.6,4.0
213,believe,verb,396.4,7.0
214,point,noun,394.4,5.0
215,hold,verb,394.2,4.0
216,all,adverb,394.0,3.0
217,million,number,393.1,7.0
218,next,number,391.8,4.0
219,live,verb,391.4,4.0
220,large,adjective,390.2,5.0
221,bring,verb,387.5,5.0
222,study,noun,386.8,5.0
223,before,preposition,383.9,6.0
224,room,noun,383.3,4.0
225,without,preposition,383.2,7.0
226,must,verb,380.1,4.0
227,home,noun,378.9,4.0
228,lot,noun,376.8,3.0
229,mother,noun,376.5,6.0
230,eye,noun,375.9,3.0
231,water,noun,372.6,5.0
232,national,adjective,369.7,8.0
233,area,noun,368.5,4.0
234,money,noun,366.2,5.0
235,under,preposition,366.1,5.0
236,fact,noun,365.3,4.0
237,story,noun,363.5,5.0
238,right,noun,362.8,5.0
239,month,noun,361.5,5.0
240,different,adjective,360.9,9.0
241,write,verb,359.6,5.0
242,head,noun,355.8,4.0
243,young,adjective,355.6,5.0
244,yes,interjection,349.7,3.0
245,issue,noun,347.6,5.0
246,kind,noun,344.5,4.0
247,job,noun,343.9,3.0
248,business,noun,343.3,8.0
249,book,noun,342.3,4.0
250,word,noun,339.8,4.0
251,side,noun,339.0,4.0
252,though,conjunction,338.2,6.0
253,provide,verb,335.3,7.0
254,black,adjective,334.9,5.0
255,four,number,334.8,4.0
256,little,adjective,332.6,6.0
257,house,noun,331.7,5.0
258,long,adjective,331.2,4.0
259,far,adverb,330.3,3.0
260,sit,verb,327.1,3.0
261,both,determiner,325.2,4.0
262,game,noun,325.1,4.0
263,service,noun,324.7,7.0
264,father,noun,322.3,6.0
265,away,adverb,321.6,4.0
266,political,adjective,321.0,9.0
267,important,adjective,320.4,9.0
268,around,preposition,319.5,6.0
269,friend,noun,317.1,6.0
270,after,conjunction,316.2,5.0
271,however,adverb,316.2,7.0
272,long,adverb,315.6,4.0
273,power,noun,314.1,5.0
274,since,conjunction,313.9,5.0
275,stand,verb,313.2,5.0
276,until,conjunction,312.9,5.0
277,often,adverb,312.7,5.0
278,hour,noun,308.8,4.0
279,among,preposition,307.1,5.0
280,line,noun,302.2,4.0
281,ever,adverb,301.7,4.0
282,yet,adverb,301.1,3.0
283,bad,adjective,299.8,3.0
284,member,noun,299.4,6.0
285,president,noun,298.2,9.0
286,end,noun,298.0,3.0
287,lose,verb,298.0,4.0
288,law,noun,297.1,3.0
289,car,noun,296.8,3.0
290,include,verb,296.8,7.0
291,pay,verb,295.9,3.0
292,community,noun,295.7,9.0
293,social,adjective,295.3,6.0
294,city,noun,294.9,4.0
295,team,noun,292.2,4.0
296,meet,verb,286.1,4.0
297,almost,adverb,284.2,6.0
298,set,verb,283.0,3.0
299,information,noun,283.0,11.0
300,face,noun,282.9,4.0
301,name,noun,282.5,4.0
302,white,adjective,281.7,5.0
303,nothing,pronoun,281.6,7.0
304,minute,noun,281.5,6.0
305,later,adverb,281.1,5.0
306,kid,noun,281.0,3.0
307,right,adjective,280.6,5.0
308,once,adverb,280.5,4.0
